,USD,EUR,GBP,INR,AUD,CAD,SGD,CHF,MYR,JPY,CNY,NZD,THB,HUF,AED,HKD,MXN,ZAR,PHP,SEK,IDR,BRL,SAR,TRY,KES,KRW,EGP,IQD,NOK,KWD,RUB,DKK,PKR,ILS,PLN,QAR,XAU,OMR,COP,CLP,TWD,ARS,CZK,VND,MAD,JOD,BHD,XOF,LKR,UAH,NGN,TND,UGX,RON,BDT,PEN,GEL,XAF,FJD,VEF,VES,BYN,UZS,BGN,DZD,IRR,DOP,ISK,CRC,XAG,SYP,JMD,LYD,GHS,MUR,AOA,UYU,AFN,LBP,XPF,TTD,TZS,ALL,XCD,GTQ,NPR,BOB,ZWD,BBD,CUC,LAK,BND,BWP,HNL,PYG,ETB,NAD,PGK,SDG,MOP,BMD,NIO,BAM,KZT,PAB,GYD,YER,MGA,KYD,MZN,RSD,SCR,AMD,AZN,SBD,SLL,TOP,BZD,GMD,MWK,BIF,HTG,SOS,GNF,MNT,MVR,CDF,STN,TJS,KPW,KGS,LRD,LSL,MMK,GIP,XPT,MDL,CUP,KHR,MKD,VUV,ANG,MRU,SZL,CVE,SRD,SVC,XPD,BSD,XDR,RWF,AWG,BTN,DJF,KMF,ERN,FKP,SHP,SPL,WST,JEP,TMT,GGP,IMP,TVD,ZMW
2022-08-02,1,1.019405353,1.222086041,0.012739882,0.695313583,0.777962219,0.724512949,1.047916977,0.224498176,0.00755468,0.148097647,0.628091388,0.027714616,0.002563543,0.272294078,0.12739547,0.048728974,0.060001349,0.018014237,0.097993993,6.73E-05,0.190818263,0.266666667,0.055724765,0.008402481,0.000764072,0.052524675,0.000685618,0.102731713,3.261271411,0.016618445,0.136952524,0.004191082,0.296664912,0.2163013,0.274725275,1777.810612,2.600780234,0.000232358,0.001106931,0.03344118,0.007563936,0.04135369,4.29E-05,0.097041,1.410437236,2.659574468,0.001554073,0.002775799,0.027094395,0.002401678,0.319234632,0.000257877,0.206861152,0.010563322,0.255158668,0.367003849,0.001554073,0.456141424,1.73E-06,0.17333239,0.396835826,9.12E-05,0.52121368,0.006863834,2.36E-05,0.01835189,0.007325975,0.001496111,20.25143411,0.00039801,0.006541909,0.205823052,0.117150144,0.021699706,0.002335845,0.024583523,0.011136899,0.00066335,0.008542617,0.147500489,0.00042897,0.008804997,0.370370358,0.129417282,0.007958696,0.145697585,0.002763194,0.5,1,6.61E-05,0.724512949,0.079944173,0.040744425,0.000145932,0.019157428,0.060001349,0.284003835,0.001759296,0.123684922,1,0.027940282,0.52121368,0.002108176,1,0.004788659,0.00399534,0.000238457,1.219509929,0.015678786,0.00868358,0.070345712,0.002478171,0.588256148,0.122949984,7.19E-05,0.428733228,0.496644726,0.018333237,0.000979098,0.000490142,0.008468761,0.001770073,0.00011403,0.000313819,0.064834694,0.000500018,0.042130667,0.09798467,0.001111127,0.012028023,0.006500358,0.060001349,0.000540179,1.222086041,914.2638643,0.051843747,0.041359868,0.000243262,0.016621287,0.008555962,0.558806806,0.026543563,0.060001349,0.00924463,0.04120581,0.114285714,2083.331377,1,1.322660542,0.000972063,0.558659218,0.012739882,0.005623952,0.002072098,0.066666667,1.222086041,1.222086041,6.000000024,0.371229199,1.222086041,0.286256715,1.222086041,1.222086041,0.695313583,0.062399361
2022-08-03,1,1.014105145,1.212894796,0.012637417,0.692794138,0.776999015,0.72363363,1.037994511,0.22438554,0.007450192,0.147990764,0.62486729,0.027562145,0.002569845,0.272294078,0.127389717,0.048620589,0.0595141,0.017942965,0.097756638,6.72E-05,0.189650649,0.266666667,0.055640004,0.008395278,0.000763386,0.052416352,0.000685698,0.102742794,3.258385906,0.016358004,0.136244165,0.004392876,0.297273114,0.215933104,0.274725275,1758.06888,2.600780234,0.000230803,0.001102684,0.03334726,0.007552021,0.041138504,4.27E-05,0.096868929,1.410437236,2.659574468,0.001545993,0.002785548,0.027077061,0.002399897,0.315224038,0.000257589,0.205894424,0.010560525,0.255481566,0.366320438,0.001545993,0.454482435,1.73E-06,0.172709421,0.396853808,9.13E-05,0.518503727,0.006847922,2.37E-05,0.018348448,0.007280084,0.001496909,19.91843539,0.000398089,0.006534224,0.205189168,0.115927608,0.02192495,0.002317414,0.024373504,0.011059177,0.00066335,0.008498201,0.147407409,0.000428916,0.008747234,0.370372838,0.129354542,0.007894685,0.145585704,0.002763194,0.5,1,6.59E-05,0.72363363,0.079566958,0.040612206,0.000145656,0.019157267,0.0595141,0.284004177,0.001763716,0.123679337,1,0.027823261,0.518503727,0.00210737,1,0.004787727,0.003995378,0.000237285,1.21951098,0.015654858,0.008642179,0.070871204,0.002473545,0.588240575,0.122500419,7.21E-05,0.42810671,0.496531221,0.018297102,0.00098058,0.000490326,0.008460465,0.001717656,0.000114121,0.000313353,0.0654021,0.000499793,0.041144569,0.097688426,0.001111151,0.012028339,0.006500808,0.0595141,0.000540068,1.212894796,898.8333584,0.05181919,0.041607957,0.000243467,0.016535039,0.008480056,0.558659329,0.026528126,0.0595141,0.009196564,0.041017667,0.114285714,2008.930774,1,1.317482036,0.000961413,0.558659218,0.012637417,0.005625379,0.002061324,0.066666667,1.212894796,1.212894796,6.000000024,0.370809568,1.212894796,0.285422948,1.212894796,1.212894796,0.692794138,0.062363623
2022-08-04,1,1.022099487,1.21401482,0.012625446,0.696595334,0.778015531,0.726070499,1.045389867,0.224337406,0.007502709,0.148163301,0.629555708,0.027876759,0.00258563,0.272294078,0.127387515,0.049189314,0.059952668,0.018008949,0.098668514,6.71E-05,0.191706149,0.266666667,0.055732731,0.008395761,0.000765934,0.052223287,0.000684425,0.102624587,3.260413756,0.016300506,0.137320728,0.004457802,0.298969822,0.21631673,0.274725275,1788.152311,2.600780234,0.000233671,0.001109535,0.033361783,0.00753926,0.041542623,4.29E-05,0.097095506,1.410437236,2.659574468,0.001558181,0.002785423,0.027074146,0.002397047,0.316871946,0.000257724,0.207390953,0.010547834,0.256792782,0.368344529,0.001558181,0.456289754,1.73E-06,0.172799865,0.396844647,9.19E-05,0.522591169,0.006904295,2.36E-05,0.018328231,0.007368406,0.001495308,20.1409063,0.000398006,0.006527653,0.205242451,0.116892406,0.021971266,0.002339157,0.024510764,0.01105954,0.00066335,0.008565194,0.147368089,0.000428877,0.008715334,0.370357052,0.129199432,0.007887207,0.145530059,0.002763194,0.5,1,6.58E-05,0.726070499,0.079412244,0.040593059,0.000145686,0.018966547,0.059952668,0.284004165,0.00175442,0.123677199,1,0.027811835,0.522591169,0.002095333,1,0.004783673,0.003996942,0.000237383,1.219509382,0.015654145,0.008708398,0.078616656,0.002476216,0.588851527,0.122494478,7.21E-05,0.427391288,0.495853496,0.018294667,0.00097663,0.000490047,0.008451674,0.001722101,0.000115493,0.000313493,0.065061506,0.000501066,0.041558704,0.097637864,0.001111149,0.012045178,0.006499776,0.059952668,0.000539463,1.21401482,929.93497,0.051762302,0.041562424,0.000243511,0.016517608,0.008500218,0.558659374,0.02650641,0.059952668,0.009269062,0.04055728,0.114285714,2077.213521,1,1.321609198,0.000971076,0.558659218,0.012625446,0.005625218,0.002077574,0.066666667,1.21401482,1.21401482,6.000000024,0.370400388,1.21401482,0.286240607,1.21401482,1.21401482,0.696595334,0.062254888
2022-08-05,1,1.016848676,1.205848595,0.012592799,0.689867477,0.772648789,0.723482906,1.037822586,0.224391889,0.007389423,0.147878188,0.62375536,0.027931697,0.002581982,0.272294078,0.127388651,0.049007646,0.059514154,0.017980523,0.098032672,6.69E-05,0.192299938,0.266666667,0.055753804,0.008387486,0.000766131,0.052268032,0.000685075,0.101887381,3.2598649,0.016522208,0.136664085,0.004455628,0.298636357,0.215876712,0.274725275,1773.503308,2.600780234,0.000231303,0.001088967,0.033314261,0.007525431,0.041509605,4.27E-05,0.096871235,1.410437236,2.659574468,0.001550176,0.002785364,0.027075285,0.002394807,0.317018972,0.00025772,0.206391016,0.010558084,0.25688976,0.369023466,0.001550176,0.453881025,1.71E-06,0.171430487,0.396053324,9.18E-05,0.519906473,0.006910701,2.37E-05,0.018385691,0.007287827,0.00149636,19.85614033,0.000398027,0.006546324,0.204956898,0.115583459,0.021751862,0.0023399,0.024588178,0.011043735,0.00066335,0.008521192,0.147319857,0.000428855,0.008773565,0.370369988,0.129292033,0.007866812,0.145535642,0.002763194,0.5,1,6.56E-05,0.723482906,0.07959591,0.040686974,0.000145772,0.019005229,0.059514154,0.284002988,0.001754904,0.123678302,1,0.027936776,0.519906473,0.002096816,1,0.004786543,0.003996976,0.000237728,1.219514268,0.015652486,0.008675684,0.071330202,0.002475086,0.588256148,0.122996391,7.19E-05,0.428794572,0.496196173,0.018385296,0.000974749,0.000489747,0.00844639,0.001764451,0.00011363,0.000314137,0.065041408,0.000499888,0.04138225,0.097706621,0.001111227,0.012048831,0.006511474,0.059514154,0.000539815,1.205848595,935.5257642,0.051842534,0.04159106,0.000243429,0.016604807,0.008520555,0.558686445,0.026490959,0.059514154,0.009221444,0.040058075,0.114285714,2128.539142,1,1.317673472,0.000972931,0.558659218,0.012592799,0.005625006,0.002066901,0.066666667,1.205848595,1.205848595,6.000000024,0.371992713,1.205848595,0.285417706,1.205848595,1.205848595,0.689867477,0.062205296
2022-08-06,1,1.01805157,1.207200986,0.012598305,0.69249166,0.772909266,0.724083716,1.03965106,0.22439617,0.007406181,0.148002639,0.623838351,0.027921053,0.002588191,0.272294078,0.127390125,0.048973323,0.059592481,0.017998356,0.098120419,6.71E-05,0.192918565,0.266666667,0.055830961,0.008384439,0.000767763,0.052375457,0.000685093,0.102100584,3.249278855,0.016393192,0.136828354,0.004434332,0.298139379,0.216385707,0.274725275,1775.100304,2.600780234,0.000230304,0.001089117,0.033317195,0.007526204,0.041570634,4.28E-05,0.096685816,1.410437236,2.659574468,0.00155201,0.002765283,0.026990243,0.002394902,0.316858397,0.000257848,0.206892498,0.010542709,0.256155203,0.367353576,0.00155201,0.454403824,1.71E-06,0.171479203,0.396040842,9.16E-05,0.520521502,0.006906012,2.38E-05,0.018379111,0.007296893,0.001488278,19.89001326,0.000398005,0.006568264,0.205287273,0.117204692,0.021579178,0.002324423,0.024563391,0.011042543,0.00066335,0.008531272,0.14727909,0.000428865,0.008704281,0.370324977,0.129259407,0.007870252,0.145585896,0.002763194,0.5,1,6.58E-05,0.724083716,0.079233002,0.040856768,0.000145152,0.019153861,0.059592481,0.284101891,0.001766859,0.123679733,1,0.027875831,0.520521502,0.002097497,1,0.004758248,0.003996542,0.000242614,1.219503235,0.015698789,0.008668183,0.069836861,0.002470476,0.588237511,0.121200202,7.22E-05,0.430200021,0.495979748,0.018445626,0.000976573,0.000490473,0.00830547,0.001719886,0.000115792,0.000314211,0.063986721,0.000499965,0.041484512,0.09770791,0.001111111,0.012048818,0.006515729,0.059592481,0.000539153,1.207200986,932.1307648,0.051956475,0.040013132,0.000243943,0.016512765,0.008586821,0.559439931,0.02644061,0.059592481,0.009232353,0.040312255,0.114285714,2129.500885,1,1.322697284,0.000972668,0.558659218,0.012598305,0.005617984,0.002069346,0.066666667,1.207200986,1.207200986,6.000000024,0.379001624,1.207200986,0.284970508,1.207200986,1.207200986,0.69249166,0.06210518
2022-08-07,1,1.018402684,1.2070997,0.012598261,0.695579081,0.773302623,0.724055316,1.039577336,0.224414747,0.007408706,0.147968931,0.623863627,0.027920624,0.002588283,0.272294078,0.127387917,0.048980018,0.059593913,0.017997989,0.098176948,6.71E-05,0.193529701,0.266666667,0.055831018,0.008385846,0.000767932,0.052377901,0.000685102,0.102101603,3.248877885,0.016431145,0.136824241,0.004436577,0.298108198,0.216389613,0.274725275,1775.100304,2.600780234,0.000230251,0.001089119,0.033316841,0.007527091,0.041573076,4.28E-05,0.096690171,1.410437236,2.659574468,0.001552545,0.002749226,0.026990781,0.002394886,0.316858428,0.000257871,0.206689247,0.010549188,0.256168357,0.367353576,0.001552545,0.454403824,1.71E-06,0.171486825,0.396039601,9.16E-05,0.520701024,0.006905696,2.38E-05,0.018385832,0.007296862,0.001487991,19.89001326,0.000398005,0.006590098,0.205476629,0.117616552,0.021611622,0.002324423,0.024567808,0.011048518,0.00066335,0.008534214,0.147290284,0.000428904,0.008703623,0.370370363,0.12928152,0.007870224,0.145666621,0.002763194,0.5,1,6.58E-05,0.724055316,0.079233002,0.040875716,0.000145175,0.019153304,0.059593913,0.284600141,0.001768763,0.12367759,1,0.027875045,0.520701024,0.002097788,1,0.004757754,0.003996484,0.000242836,1.21950463,0.015698755,0.008655297,0.069755264,0.002470476,0.588237511,0.121200229,7.22E-05,0.430200005,0.496202989,0.018445626,0.000976712,0.000490594,0.008298853,0.001719885,0.000115882,0.00031423,0.063817464,0.000499965,0.0414944,0.09770791,0.001111111,0.012048818,0.006515949,0.059593913,0.000539224,1.2070997,932.1307648,0.052001745,0.04,0.000244013,0.016509845,0.008586823,0.559440537,0.026441022,0.059593913,0.009235537,0.04024197,0.114285714,2129.500885,1,1.322697284,0.00097275,0.558659218,0.012598261,0.005617986,0.00207006,0.066666667,1.2070997,1.2070997,6.000000024,0.379001651,1.2070997,0.284936235,1.2070997,1.2070997,0.695579081,0.06211088
2022-08-08,1,1.020652972,1.209617461,0.012562417,0.69904484,0.777924776,0.725443053,1.047480476,0.224265611,0.00742122,0.148128001,0.628680417,0.028090981,0.002588497,0.272294078,0.127386539,0.049271898,0.060111275,0.0180463,0.098504707,6.73E-05,0.194799243,0.266666667,0.055649565,0.008389421,0.000768811,0.052154471,0.000685533,0.102811398,3.260987633,0.016556523,0.137180387,0.004456696,0.302300073,0.217177671,0.274725275,1787.580641,2.600780234,0.000232522,0.001104472,0.033288704,0.007487362,0.041629081,4.29E-05,0.097324329,1.410437236,2.659574468,0.001555975,0.002739531,0.027093235,0.002392525,0.318972919,0.000257702,0.208101145,0.01054177,0.256441761,0.36902347,0.001555975,0.456813844,1.71E-06,0.17136532,0.396776414,9.20E-05,0.521851578,0.006934348,2.36E-05,0.018390909,0.007274824,0.001489109,20.65640671,0.000398007,0.006545739,0.204986457,0.115333576,0.021957536,0.002345484,0.024863211,0.011062868,0.00066335,0.008553072,0.147018937,0.000428738,0.008773978,0.370371494,0.128708426,0.007847832,0.144823954,0.002763194,0.5,1,6.59E-05,0.725443053,0.079343229,0.04047116,0.000145153,0.018885173,0.060111275,0.28400386,0.001756002,0.123676252,1,0.027697201,0.521851578,0.002095917,1,0.004777854,0.003996204,0.000236219,1.219506691,0.015667067,0.008698625,0.073715178,0.002472319,0.588256205,0.123002025,7.19E-05,0.428801939,0.493844567,0.018388878,0.000975535,0.000483409,0.008164886,0.001752308,0.000114893,0.000314689,0.064941439,0.000500034,0.041447727,0.098026123,0.001111117,0.012048273,0.006512531,0.060111275,0.000537532,1.209617461,945.8244625,0.051776221,0.041344316,0.000243585,0.016561115,0.008482223,0.55873361,0.026487603,0.060111275,0.009255944,0.040323229,0.114285714,2249.459697,1,1.320616154,0.000972926,0.558659218,0.012562417,0.00562424,0.002074634,0.066666667,1.209617461,1.209617461,6.000000024,0.369575545,1.209617461,0.286038635,1.209617461,1.209617461,0.69904484,0.062156727
2022-08-09,1,1.022705049,1.209106317,0.012564837,0.697250146,0.776442408,0.725565179,1.049823318,0.224452217,0.007409229,0.148086483,0.628631227,0.028274543,0.002579202,0.272294078,0.127390179,0.049285687,0.060253147,0.017982823,0.098421914,6.72E-05,0.19488351,0.266666667,0.055765716,0.008390613,0.000765235,0.05219236,0.000685362,0.102959792,3.26143005,0.016529115,0.137442011,0.004456861,0.301907833,0.217539484,0.274725275,1795.85915,2.600780234,0.000231646,0.001109009,0.03329132,0.007473737,0.041730095,4.29E-05,0.097429862,1.410437236,2.659574468,0.001559104,0.002785467,0.027086922,0.002392478,0.318314295,0.000257998,0.208604332,0.01054402,0.254268652,0.369704083,0.001559104,0.456384145,1.71E-06,0.170932365,0.396824607,9.21E-05,0.522900789,0.006949876,2.36E-05,0.018452092,0.007299471,0.001494364,20.48747586,0.000398102,0.006547362,0.204983873,0.114173342,0.022477439,0.002328508,0.024878333,0.011115423,0.00066335,0.008570268,0.147009524,0.000428677,0.008750464,0.370371755,0.129154821,0.007849344,0.145330999,0.002763194,0.5,1,6.60E-05,0.725565179,0.079396499,0.040675082,0.000145531,0.018991301,0.060253147,0.284003998,0.001755333,0.123679785,1,0.027896731,0.522900789,0.002086686,1,0.004780463,0.003996819,0.000238739,1.21951423,0.015657384,0.008715575,0.069773558,0.002474242,0.587393078,0.122988765,7.20E-05,0.429964735,0.495558044,0.018402347,0.000982559,0.000485489,0.008159683,0.001753608,0.000113964,0.000314456,0.064855836,0.000500038,0.041616937,0.09777927,0.001111122,0.012073081,0.006514865,0.060253147,0.000527434,1.209106317,936.4537875,0.05177042,0.041495505,0.000243427,0.016624053,0.008523789,0.558706847,0.026497817,0.060253147,0.009274554,0.041619982,0.114285714,2254.029629,1,1.320402736,0.000961405,0.558659218,0.012564837,0.005624866,0.002078805,0.066666667,1.209106317,1.209106317,6.000000024,0.371669253,1.209106317,0.285425481,1.209106317,1.209106317,0.697250146,0.062162652
2022-08-10,1,1.033061807,1.224249431,0.01264184,0.709703886,0.782802986,0.730413013,1.062469975,0.224379948,0.007543976,0.14872813,0.642492433,0.028350881,0.002624701,0.272294078,0.127439326,0.050093123,0.061794033,0.018053941,0.099628493,6.77E-05,0.19798362,0.266666667,0.056022765,0.008382638,0.000770113,0.052176039,0.000685256,0.105141632,3.265740148,0.016226592,0.138876328,0.00445539,0.306618537,0.221126152,0.274725275,1798.056168,2.600780234,0.000234532,0.001127959,0.033411705,0.007459967,0.042460813,4.26E-05,0.097779027,1.410437236,2.659574468,0.001574893,0.002754637,0.027125126,0.002388488,0.320832347,0.000259188,0.210548793,0.010531251,0.255378975,0.371067346,0.001574893,0.460874609,1.70E-06,0.170441613,0.396050429,9.17E-05,0.528196114,0.006981478,2.35E-05,0.018453694,0.007373727,0.001495019,20.73469082,0.000398013,0.006562239,0.204940279,0.11287549,0.02192215,0.002345374,0.024945039,0.011085397,0.00066335,0.008657058,0.147099359,0.000428851,0.008731902,0.370368175,0.129264353,0.007897448,0.14530019,0.002763194,0.5,1,6.59E-05,0.730413013,0.079675216,0.040629734,0.000145208,0.018973251,0.061794033,0.284008204,0.001753017,0.123727501,1,0.027857446,0.528196114,0.002090097,1,0.004786391,0.003996788,0.00023839,1.219524357,0.015654784,0.008804348,0.070031813,0.002471598,0.587392272,0.122966819,7.19E-05,0.427820405,0.496030007,0.0184498,0.000978009,0.000484934,0.008247419,0.001763978,0.000115828,0.000312961,0.065308853,0.000500731,0.041642312,0.097714212,0.001111221,0.012160646,0.006514674,0.061794033,0.000475541,1.224249431,950.9624508,0.051887592,0.041473226,0.000244429,0.016563651,0.008513851,0.558664954,0.026485049,0.061794033,0.009368476,0.041618741,0.114285714,2250.160289,1,1.329671127,0.000957944,0.558659218,0.01264184,0.005625132,0.002099857,0.066666667,1.224249431,1.224249431,6.000000024,0.370759129,1.224249431,0.285423611,1.224249431,1.224249431,0.709703886,0.062156965
2022-08-11,1,1.033680889,1.222468615,0.012571246,0.711872716,0.784551292,0.730729645,1.064570138,0.224874803,0.007537724,0.148268877,0.64424782,0.028439949,0.002618882,0.272294078,0.127489,0.050179139,0.061650704,0.018056914,0.099621515,6.80E-05,0.194474254,0.266666667,0.05570268,0.008379239,0.0007686,0.052223836,0.000685505,0.105302714,3.263798004,0.016481732,0.138954329,0.004514431,0.3090753,0.220781465,0.274725275,1790.718988,2.600780234,0.000236511,0.001134583,0.033357507,0.007450085,0.042456519,4.26E-05,0.097640614,1.410437236,2.659574468,0.001575836,0.002754804,0.027079436,0.002387402,0.320935917,0.000262541,0.210930676,0.010538177,0.2574199,0.371059036,0.001575836,0.461997345,1.69E-06,0.168993123,0.396842702,9.18E-05,0.528512646,0.006989094,2.36E-05,0.018521451,0.007377537,0.001496184,20.38170994,0.000398084,0.006578597,0.205390318,0.111756492,0.022236896,0.002332651,0.024892526,0.011131465,0.00066335,0.008662246,0.147401364,0.000428907,0.008827483,0.370370334,0.129384588,0.007853348,0.144876619,0.002763194,0.5,1,6.59E-05,0.730729645,0.079689927,0.04072737,0.000145363,0.019014267,0.061650704,0.284500288,0.001756204,0.123775728,1,0.02788987,0.528512646,0.00209977,1,0.004790639,0.003995833,0.000238174,1.219506418,0.015655481,0.008808921,0.078357901,0.002480996,0.588256062,0.122945923,7.19E-05,0.431021826,0.496666172,0.018453636,0.00097669,0.000489075,0.008245477,0.001756708,0.000115911,0.000313036,0.065133191,0.000500772,0.042136643,0.097823765,0.001111171,0.01215672,0.006513109,0.061650704,0.000476438,1.222468615,964.9308153,0.051956054,0.041364623,0.000243387,0.016741504,0.008600351,0.558670866,0.026506494,0.061650704,0.00937409,0.042220501,0.114285714,2274.63697,1,1.328324207,0.000971994,0.558659218,0.012571246,0.005625192,0.002101115,0.066666667,1.222468615,1.222468615,6.000000024,0.374545464,1.222468615,0.286220873,1.222468615,1.222468615,0.711872716,0.06210834
2022-08-12,1,1.025814735,1.213445454,0.0125546,0.710639572,0.78225934,0.729012073,1.060451706,0.224371267,0.007487324,0.148316995,0.643898465,0.028307757,0.002605389,0.272294078,0.127574338,0.050320901,0.06155579,0.017956439,0.098058554,6.82E-05,0.196597412,0.266666667,0.055728315,0.008378816,0.000766918,0.052221688,0.000685657,0.10444538,3.261052248,0.016323523,0.137904129,0.004556314,0.309005931,0.219991116,0.274725275,1795.710602,2.597601413,0.000238462,0.001135216,0.033353256,0.007435246,0.042113366,4.28E-05,0.097104485,1.410437236,2.659574468,0.001563844,0.00277755,0.027079277,0.002385453,0.318600266,0.00026524,0.209891178,0.01053357,0.257818054,0.36247268,0.001563844,0.459282525,1.69E-06,0.168660485,0.396053818,9.14E-05,0.524490746,0.006994659,2.35E-05,0.018521773,0.007314603,0.001495034,20.54978495,0.000398006,0.006582502,0.20580002,0.110882994,0.021993031,0.002326011,0.024873138,0.011125764,0.00066335,0.008596327,0.147358301,0.000428749,0.008827372,0.370363879,0.129330233,0.007842948,0.144861736,0.002763194,0.5,1,6.58E-05,0.729012073,0.080298014,0.040650783,0.000145486,0.01910007,0.06155579,0.284000052,0.0017564,0.123858581,1,0.02783733,0.524490746,0.00209619,1,0.004790237,0.003995792,0.000237855,1.219512788,0.015651772,0.008743264,0.073156952,0.002476295,0.587400845,0.123421417,7.22E-05,0.431525371,0.496498377,0.018453216,0.00097668,0.000488854,0.007968174,0.001757944,0.00011572,0.000312904,0.065133005,0.000500873,0.041953648,0.098004238,0.001111132,0.012194169,0.006513199,0.06155579,0.000476256,1.213445454,959.7807286,0.051995603,0.041558429,0.000243435,0.016757983,0.008621092,0.558670691,0.026507802,0.06155579,0.009302754,0.042136191,0.114285714,2258.304388,1,1.322901611,0.000968762,0.558659218,0.0125546,0.005625158,0.002085126,0.066666667,1.213445454,1.213445454,6.000000024,0.375042117,1.213445454,0.286227384,1.213445454,1.213445454,0.710639572,0.062069038
2022-08-13,1,1.025765847,1.213772454,0.012555942,0.712306163,0.782794429,0.729209208,1.062239228,0.224986807,0.007491983,0.148306858,0.645487031,0.028260674,0.002613204,0.272294078,0.127613569,0.050381079,0.061641988,0.017959188,0.098010647,6.81E-05,0.196937367,0.266666667,0.055738557,0.008374943,0.000768105,0.052215318,0.000685084,0.104490726,3.2565198,0.016191776,0.137930929,0.004639896,0.309566483,0.220403995,0.274725275,1802.260176,2.597446096,0.000240226,0.001141909,0.033380297,0.007430633,0.042097124,4.27E-05,0.096836383,1.410437236,2.659574468,0.00156377,0.002778685,0.027243237,0.002385206,0.320297948,0.000262575,0.210245473,0.010517315,0.258600828,0.369671796,0.00156377,0.458419048,1.68E-06,0.168293198,0.396041751,9.15E-05,0.524465749,0.006987945,2.38E-05,0.018510774,0.00731776,0.001486967,20.81910516,0.000398005,0.006604979,0.20641769,0.111648063,0.021820561,0.002329392,0.024852069,0.011152279,0.00066335,0.008595918,0.146442704,0.000429082,0.008775017,0.370299562,0.129274406,0.007843787,0.144352887,0.002763194,0.5,1,6.58E-05,0.729209208,0.080469116,0.040858896,0.000144906,0.019146587,0.061641988,0.283703611,0.001766215,0.123896669,1,0.027832514,0.524465749,0.002096971,1,0.004764514,0.003996573,0.000243597,1.219503351,0.015701026,0.008740807,0.069641275,0.00247663,0.588235863,0.121300189,7.19E-05,0.433200229,0.496224748,0.0184674,0.000980764,0.00049001,0.007908816,0.001754384,0.000115711,0.000313883,0.064049921,0.000500217,0.041814645,0.098023444,0.001111111,0.012194481,0.006511301,0.061641988,0.000477095,1.213772454,960.4248769,0.052057011,0.040013599,0.000244028,0.016813465,0.008689803,0.559439764,0.026566629,0.061641988,0.009302311,0.041615878,0.114285714,2244.59976,1,1.324547281,0.000971218,0.558659218,0.012555942,0.005617983,0.002085027,0.066666667,1.213772454,1.213772454,6.000000024,0.376503006,1.213772454,0.285181011,1.213772454,1.213772454,0.712306163,0.061855116
2022-08-14,1,1.025672212,1.213209221,0.012555395,0.712200029,0.782816877,0.729187357,1.062223142,0.224985316,0.00749179,0.1483044,0.645497441,0.028260247,0.002612107,0.272294078,0.127615931,0.050372034,0.061620578,0.017963847,0.098009246,6.81E-05,0.197134216,0.266666667,0.055750702,0.008375109,0.000768031,0.052292193,0.000685082,0.104490905,3.256284527,0.016392633,0.13793042,0.004644991,0.308887245,0.220400127,0.274725275,1802.260176,2.59740151,0.000240477,0.001141919,0.033380032,0.007430177,0.042082209,4.27E-05,0.096840041,1.410437236,2.659574468,0.001563627,0.002766825,0.027253063,0.00238519,0.320359357,0.00026242,0.210270131,0.010517425,0.258630821,0.369671796,0.001563627,0.458283893,1.68E-06,0.168390561,0.396039665,9.15E-05,0.524417875,0.006985971,2.38E-05,0.018511817,0.007317922,0.001485749,20.81910516,0.000398005,0.006607095,0.206584158,0.111702404,0.021878629,0.002329392,0.024850952,0.011122876,0.00066335,0.008595133,0.146391762,0.000429096,0.00876266,0.370370354,0.129272173,0.007843445,0.14419961,0.002763194,0.5,1,6.58E-05,0.729187357,0.080469116,0.040878939,0.000144884,0.019146236,0.061620578,0.284000939,0.001768837,0.123898962,1,0.027832064,0.524417875,0.00209713,1,0.004762202,0.003996486,0.000243851,1.21950623,0.015701027,0.008740006,0.069624165,0.00247663,0.588235863,0.121300175,7.19E-05,0.433200241,0.496203213,0.018467254,0.000980883,0.000490208,0.00790509,0.001754225,0.000115904,0.00031388,0.063832215,0.000500215,0.041843069,0.098023444,0.001111111,0.012194481,0.006511105,0.061620578,0.000477147,1.213209221,960.4248769,0.052082405,0.04,0.000244073,0.016834257,0.008689814,0.559440532,0.02656725,0.061620578,0.009301462,0.041464858,0.114285714,2244.59976,1,1.324547281,0.00097111,0.558659218,0.012555395,0.005617988,0.002084836,0.066666667,1.213209221,1.213209221,6.000000024,0.376503165,1.213209221,0.285015204,1.213209221,1.213209221,0.712200029,0.061841325
