,USD,EUR,GBP,INR,AUD,CAD,SGD,CHF,MYR,JPY,CNY,NZD,THB,HUF,AED,HKD,MXN,ZAR,PHP,SEK,IDR,BRL,SAR,TRY,KES,KRW,EGP,IQD,NOK,KWD,RUB,DKK,PKR,ILS,PLN,QAR,XAU,OMR,COP,CLP,TWD,ARS,CZK,VND,MAD,JOD,BHD,XOF,LKR,UAH,NGN,TND,UGX,RON,BDT,PEN,GEL,XAF,FJD,VEF,VES,BYN,UZS,BGN,DZD,IRR,DOP,ISK,CRC,XAG,SYP,JMD,LYD,GHS,MUR,AOA,UYU,AFN,LBP,XPF,TTD,TZS,ALL,XCD,GTQ,NPR,BOB,ZWD,BBD,CUC,LAK,BND,BWP,HNL,PYG,ETB,NAD,PGK,SDG,MOP,BMD,NIO,BAM,KZT,PAB,GYD,YER,MGA,KYD,MZN,RSD,SCR,AMD,AZN,SBD,SLL,TOP,BZD,GMD,MWK,BIF,HTG,SOS,GNF,MNT,MVR,CDF,STN,TJS,KPW,KGS,LRD,LSL,MMK,GIP,XPT,MDL,CUP,KHR,MKD,VUV,ANG,MRU,SZL,CVE,SRD,SVC,XPD,BSD,XDR,RWF,AWG,BTN,DJF,KMF,ERN,FKP,SHP,SPL,WST,JEP,TMT,GGP,IMP,TVD,ZMW
2022-09-06,19.2557508,19.08290281,22.23318917,0.241122603,12.99686126,14.67487462,13.69350776,19.56324609,4.279092102,0.134693483,2.768689085,11.65126901,0.525224335,0.047281532,5.243226903,2.4530359,0.957165221,1.115365627,0.337379451,1.783705117,0.001292686,3.681323247,5.13486688,1.056692089,0.160076381,0.013957096,1.0,0.013203376,1.925407527,62.32404175,0.313119482,2.566175987,0.086580439,5.636610123,4.038785381,5.290041428,32795.5656,50.01025062,0.004301379,0.021656656,0.624792873,0.137025973,0.774870037,0.000819077,1.807806259,27.15902793,51.21210319,0.029091698,0.053485941,0.521450462,0.045223739,5.959047414,0.005042254,3.937413751,0.202779641,4.964372477,6.721756539,0.029091698,8.607194891,2.43e-05,2.432277207,7.641154816,0.001757286,9.756933276,0.136654532,0.00045486,0.363303186,0.134851048,0.030203708,347.9847758,0.00766392,0.127807281,3.905219749,1.936975077,0.435960945,0.0451119,0.47271252,0.218436275,0.012773301,0.159914726,2.846067327,0.008261271,0.162699774,7.131567154,2.488067839,0.150631019,2.789691181,0.05320738,9.6278754,19.2557508,0.001232378,13.69350776,1.49200329,0.783115898,0.002787945,0.365248307,1.115365627,5.487894163,0.033094628,2.381588252,19.2557508,0.536527265,9.756933276,0.040716447,19.2557508,0.092259223,0.076932217,0.004579641,23.48257544,0.301464548,0.162610674,1.327070115,0.047836024,11.32731413,2.368414939,0.001385127,8.138956096,9.562183992,0.349521051,0.018795753,0.009402292,0.162499431,0.033893596,0.002231747,0.005989359,1.24916009,0.009467345,0.779942894,1.900339549,0.021395762,0.237570115,0.125048272,1.115365627,0.009173948,22.23318917,16422.91334,0.994532792,0.802730393,0.004683424,0.310998645,0.161251629,10.75792958,0.511287429,1.115365627,0.17305616,0.750201134,2.200657234,38600.03991,19.2557508,24.90802887,0.01862682,10.75740268,0.241122603,0.108283864,0.03878893,1.28371672,22.23318917,22.23318917,115.5345053,7.051540016,22.23318917,5.511744743,22.23318917,22.23318917,12.99686126,1.248169316
2022-09-07,19.27056281,19.15376912,22.10247582,0.241414628,12.96872493,14.63679889,13.69391156,19.645804,4.281865148,0.133478363,2.766228205,11.62730319,0.526580729,0.048125493,5.247260125,2.454877531,0.961956174,1.111292088,0.337133064,1.790498272,0.001291117,3.671616555,5.138816749,1.056979282,0.160147584,0.013957287,1.0,0.013202348,1.91789066,62.3008769,0.315800409,2.575745313,0.085794892,5.615972734,4.059092056,5.294110662,32961.17672,50.04795714,0.004336948,0.021798148,0.623767483,0.136862406,0.778517916,0.000821907,1.811954713,27.17991934,51.25149683,0.029199733,0.053527731,0.5226972,0.045224069,5.966836491,0.005052346,3.943546034,0.202728325,4.948181242,6.750475457,0.029199733,8.598442639,2.42e-05,2.423005858,7.632180811,0.001748579,9.793166647,0.137053365,0.000454272,0.362847629,0.13613,0.030259503,352.1534222,0.007671877,0.128112557,3.889908496,1.933806752,0.438399115,0.045145815,0.471000051,0.217990674,0.012783126,0.160508585,2.844237246,0.008262388,0.162228045,7.137254892,2.485505326,0.150813448,2.7891381,0.053248308,9.635281405,19.27056281,0.00122271,13.69391156,1.488761815,0.784287587,0.002790197,0.364598638,1.111292088,5.47291594,0.033121002,2.383376244,19.27056281,0.535603302,9.793166647,0.040667879,19.27056281,0.092247073,0.077023047,0.004573463,23.50072988,0.301841829,0.163300357,1.43252046,0.047859756,11.33602805,2.370161264,0.001386894,8.145593371,9.559369512,0.350430345,0.018763565,0.0095338,0.162675859,0.033888675,0.002223093,0.00599415,1.257790279,0.009469994,0.77915604,1.886055939,0.021412322,0.236925311,0.125141168,1.111292088,0.009174132,22.10247582,16579.33221,0.993567776,0.802505746,0.004700415,0.310451741,0.16048979,10.76572723,0.509798842,1.111292088,0.173698822,0.740622042,2.202350035,38973.16645,19.27056281,24.92375565,0.01861402,10.76567755,0.241414628,0.108401469,0.038932977,1.284704187,22.10247582,22.10247582,115.6233773,7.04513767,22.10247582,5.516055558,22.10247582,22.10247582,12.96872493,1.24422253
2022-09-08,19.32398634,19.24112392,22.19459197,0.242428237,13.02503108,14.73234382,13.73993713,19.86980288,4.293437325,0.13415999,2.777345354,11.68555383,0.529405109,0.048468402,5.261807037,2.461848291,0.966617721,1.105074262,0.338818828,1.798387407,0.001296863,3.70172411,5.153063025,1.058782972,0.160676374,0.013942844,1.0,0.013247752,1.91772983,62.56925116,0.316917958,2.587578683,0.08651298,5.623459428,4.091528485,5.308787457,32997.49148,50.19324521,0.004401407,0.021963607,0.624916982,0.13688201,0.784678769,0.000819336,1.800717987,27.25526988,51.3935807,0.029332904,0.053088523,0.523201015,0.045262793,5.99413326,0.005062939,3.94476469,0.203396821,4.983719491,6.781038139,0.029332904,8.629996514,2.43e-05,2.430432624,7.668386246,0.00176364,9.837830446,0.13701849,0.00045662,0.364895102,0.137339032,0.029499354,356.9723754,0.007690804,0.128045406,3.933208869,1.935398656,0.436479374,0.045215819,0.471954119,0.21891231,0.012818565,0.161240618,2.851555403,0.008289785,0.164239046,7.157004557,2.492308527,0.151446657,2.798230121,0.053395928,9.661993172,19.32398634,0.001231949,13.73993713,1.488994193,0.786290395,0.002800225,0.366900118,1.105074262,5.518912157,0.033485318,2.390143972,19.32398634,0.539002866,9.837830446,0.040620293,19.32398634,0.092544157,0.077203603,0.00459843,23.56575369,0.302539443,0.163968464,1.417488471,0.04796823,11.36745297,2.376688623,0.001391252,8.152455807,9.591335193,0.354633492,0.018920173,0.00938395,0.1619746,0.033985197,0.002242455,0.006014723,1.255942057,0.00950022,0.786974058,1.909125571,0.021470257,0.235981033,0.125487484,1.105074262,0.009201308,22.19459197,16728.78089,0.996137168,0.805169599,0.004703294,0.313717997,0.16099672,10.7960459,0.516165257,1.105074262,0.174491012,0.735136008,2.208455582,40103.71234,19.32398634,25.01392332,0.018723602,10.7955231,0.242428237,0.108697702,0.039110539,1.288265756,22.19459197,22.19459197,115.9439185,7.059428753,22.19459197,5.533977272,22.19459197,22.19459197,13.02503108,1.248507086
2022-09-09,19.32659491,19.41355039,22.41200819,0.242759103,13.22628654,14.82245093,13.81598078,20.11586262,4.264821749,0.135651641,2.790255017,11.81340277,0.531258453,0.048935428,5.262517334,2.462237149,0.971647854,1.119353968,0.340282323,1.820742258,0.001303273,3.747734867,5.153758642,1.060745616,0.160606977,0.014024565,1.0,0.013236166,1.949269059,62.66652203,0.3189436,2.610491697,0.084131015,5.668782751,4.129045893,5.309504096,33179.0417,50.19633057,0.004430884,0.021748072,0.626728169,0.136707584,0.790565561,0.000822925,1.797418624,27.2589491,51.40051837,0.029595767,0.053680053,0.524164856,0.045234589,6.030284895,0.005066843,3.962070776,0.203387055,4.988384414,6.805792662,0.029595767,8.699833756,2.43e-05,2.428396071,7.669328969,0.001766787,9.9259907,0.137007886,0.000459118,0.364602451,0.137953379,0.029554599,363.0005144,0.007692113,0.128292927,3.89733946,1.929669697,0.430173579,0.045222977,0.473753985,0.21895888,0.012820295,0.162685552,2.848928573,0.008289113,0.165406432,7.15788883,2.487501965,0.151653352,2.798050758,0.053403136,9.663297454,19.32659491,0.001229326,13.81598078,1.492809253,0.784469486,0.00279453,0.366103097,1.119353968,5.511899574,0.033492343,2.390521504,19.32659491,0.537883474,9.9259907,0.040876929,19.32659491,0.092538653,0.07724498,0.004595677,23.56899697,0.302738179,0.165448856,1.413695602,0.047947321,11.36898804,2.377135543,0.001390917,8.149191575,9.590969807,0.355314872,0.018878337,0.009369768,0.161738112,0.034053415,0.002212705,0.005995177,1.256112139,0.009503899,0.784736399,1.881267288,0.02147445,0.23547515,0.125864054,1.119353968,0.009202235,22.41200819,16744.79109,0.996817396,0.805132862,0.004697032,0.314609357,0.161333056,10.79758764,0.513138041,1.119353968,0.176054687,0.727393014,2.208753704,39663.76892,19.32659491,25.12797167,0.018676523,10.7969804,0.242759103,0.108711021,0.039461022,1.288439661,22.41200819,22.41200819,115.9595699,7.044609222,22.41200819,5.613752424,22.41200819,22.41200819,13.22628654,1.235070225
2022-09-10,19.31775555,19.52413916,22.40066518,0.24244858,13.21403408,14.824728,13.80386706,20.12778714,4.295598654,0.135506478,2.789854027,11.7978952,0.53143866,0.048918409,5.26011043,2.461138393,0.971250571,1.12063296,0.339977209,1.817784935,0.001302382,3.746250444,5.151401481,1.059480093,0.160449553,0.014000645,1.0,0.013234666,1.946257256,62.52303274,0.317803035,2.608560523,0.085659432,5.669847049,4.135748762,5.307075701,33170.58835,50.1700463,0.004436784,0.021277829,0.625279914,0.136797436,0.790218326,0.000821318,1.797065453,27.24648174,51.37700945,0.029764358,0.053941233,0.52261152,0.045209235,6.048723162,0.005059051,3.963492584,0.20310597,5.004393794,6.78999139,0.029764358,8.648768003,2.42e-05,2.41855667,7.651736545,0.001760965,9.982533841,0.136764153,0.000459535,0.363001484,0.137928742,0.029624682,363.1734688,0.007688564,0.129276785,3.903013406,1.94959358,0.427093314,0.045096136,0.47315896,0.218761853,0.012814432,0.163612286,2.856120744,0.00828877,0.165247139,7.153629854,2.479010164,0.151459366,2.790557643,0.053378711,9.658877777,19.31775555,0.001222105,13.80386706,1.49215507,0.786587216,0.002783217,0.367724317,1.12063296,5.488214529,0.0340515,2.389454751,19.31775555,0.536909378,9.982533841,0.040870136,19.31775555,0.092039971,0.07720043,0.004675505,23.55805276,0.303265045,0.165341354,1.311171115,0.047927633,11.36342829,2.357726536,0.001350995,8.177189336,9.586111342,0.353797661,0.018916523,0.009436731,0.16416503,0.03404025,0.002225695,0.005989984,1.236369185,0.009657685,0.79163111,1.880312626,0.021464172,0.235371407,0.125459412,1.12063296,0.009216632,22.40066518,16696.26368,0.996694521,0.809544468,0.004697617,0.314891003,0.16248281,10.80829919,0.510329018,1.12063296,0.177057578,0.733366586,2.207743492,39819.57277,19.31775555,25.15859318,0.018658434,10.79204221,0.24244858,0.108526893,0.039685811,1.28785037,22.40066518,22.40066518,115.9065338,7.105034185,22.40066518,5.749345274,22.40066518,22.40066518,13.21403408,1.238661919
2022-09-11,19.34190845,19.52459585,22.43898345,0.242763992,13.19193735,14.86173409,13.83432927,20.16947772,4.299662478,0.135745466,2.793895362,11.82827359,0.532098959,0.048972467,5.266687121,2.464323629,0.972251357,1.116441457,0.340394156,1.819886377,0.001303998,3.75729577,5.157842254,1.061020687,0.160649648,0.01401706,1.0,0.013251391,1.956790608,62.59489681,0.318071934,2.612716458,0.085783674,5.669193676,4.143941369,5.313711113,33215.29208,50.2324169,0.004444535,0.021319462,0.626036738,0.136802559,0.791367419,0.00082236,1.798588057,27.28054789,51.44124588,0.029765054,0.054008675,0.523253683,0.045266032,6.056686596,0.005065282,3.967819326,0.203332495,4.995447175,6.798799186,0.029765054,8.648132692,2.42e-05,2.421334096,7.660201649,0.001763164,9.982767341,0.136818816,0.000460245,0.363433548,0.138112274,0.029672429,364.2389601,0.007698179,0.129509614,3.90998651,1.953251065,0.427083482,0.045152519,0.47369961,0.219296336,0.012830453,0.163616113,2.859490934,0.008299493,0.165456461,7.163669632,2.48026325,0.151656406,2.793090164,0.05344545,9.670954226,19.34190845,0.001224024,13.83432927,1.494020705,0.787411853,0.002785719,0.368072319,1.116441457,5.49488938,0.034213208,2.392547213,19.34190845,0.537571738,9.982767341,0.040926135,19.34190845,0.09211044,0.077296537,0.004684412,23.58758515,0.303643234,0.165547394,1.307921864,0.047987557,11.37763593,2.360673251,0.001352616,8.187413662,9.598011797,0.354246603,0.018938588,0.009460976,0.164614666,0.034081443,0.002229796,0.005997807,1.234327467,0.009670259,0.792714622,1.882663572,0.021491009,0.235665691,0.125606317,1.116441457,0.00922944,22.43898345,17024.91324,0.998008699,0.808783107,0.00470447,0.315374329,0.162685842,10.82185666,0.51074464,1.116441457,0.17706172,0.726334268,2.210503823,41707.10628,19.34190845,25.19004885,0.018682661,10.80553545,0.242763992,0.108662558,0.039686739,1.289460563,22.43898345,22.43898345,116.0514512,7.113913328,22.43898345,5.756533653,22.43898345,22.43898345,13.19193735,1.239841087
2022-09-12,19.36501786,19.60438697,22.64633798,0.243975177,13.33233243,14.92031154,13.87567934,20.33762841,4.304507523,0.135942951,2.795887829,11.91103992,0.533833847,0.049300368,5.272979676,2.467203703,0.97788404,1.130558206,0.341271248,1.84496051,0.00130352,3.789356046,5.164004763,1.062209066,0.160839752,0.014087251,1.0,0.01326925,1.965752211,62.83213916,0.319456729,2.636263454,0.083693027,5.752309748,4.175676098,5.320059852,33584.52658,50.30234601,0.004443694,0.021495554,0.62733809,0.136112744,0.799830136,0.000821587,1.80764449,27.31314226,51.50270707,0.029886695,0.053783054,0.524579807,0.045286285,6.074591774,0.005082257,3.98959804,0.203982698,4.988334145,6.843169699,0.029886695,8.660837569,2.43e-05,2.425945199,7.669621543,0.001766141,10.02356389,0.137436603,0.000457321,0.366856892,0.139110291,0.02972316,386.3141682,0.007709191,0.128679355,3.921328494,1.932095661,0.430546934,0.045309629,0.475556605,0.219529275,0.012845783,0.164284763,2.867368456,0.008307406,0.16682852,7.172525442,2.503820695,0.152413042,2.805824671,0.053509306,9.68250893,19.36501786,0.001239105,13.87567934,1.497959355,0.787563053,0.002804666,0.36815844,1.130558206,5.499738095,0.033660852,2.395343401,19.36501786,0.543076981,10.02356389,0.040941381,19.36501786,0.092790368,0.077385933,0.004626391,23.61591376,0.302483081,0.16709376,1.439406302,0.048024307,11.40300184,2.382003821,0.001393472,8.2007537,9.618941984,0.354648168,0.018947132,0.009440451,0.162416077,0.034124848,0.002244952,0.00599085,1.258071482,0.009542977,0.799543251,1.916290548,0.021517051,0.236223868,0.125832646,1.130558206,0.009233925,22.64633798,16948.89743,1.001412653,0.807585932,0.004715894,0.318777061,0.162805985,10.81960092,0.514058147,1.130558206,0.177785318,0.715609877,2.213144898,40809.25874,19.36501786,25.27223831,0.018712682,10.81844573,0.243975177,0.108924077,0.039848927,1.291001191,22.64633798,22.64633798,116.1901076,7.105479385,22.64633798,5.62235108,22.64633798,22.64633798,13.33233243,1.241820384
2022-09-13,19.33941583,19.34089839,22.29513421,0.243311849,13.08273865,14.73732765,13.75705801,20.12742683,4.290477611,0.134042655,2.792905198,11.63079253,0.528934593,0.048500657,5.266008394,2.463851578,0.963604225,1.112194574,0.339064156,1.817057926,0.00129424,3.729469298,5.157177553,1.059628648,0.160576281,0.013889918,1.0,0.013255388,1.921550276,62.62181234,0.320225875,2.600902575,0.082646177,5.650929764,4.095798361,5.313026326,32903.43781,50.24728261,0.004369052,0.021068391,0.62151755,0.135642139,0.788087545,0.000818104,1.799686151,27.27703219,51.43461656,0.02948501,0.053060276,0.524054582,0.045185559,6.01186641,0.005071336,3.930258254,0.203832792,5.014572801,6.834302329,0.02948501,8.70611833,2.43e-05,2.426808907,7.659634491,0.00176486,9.888844322,0.136584844,0.000458092,0.361960727,0.138015583,0.029740529,376.2806121,0.007697851,0.128393394,3.917966267,1.924691737,0.427801035,0.045246981,0.474161687,0.219232634,0.0128288,0.162076729,2.852734852,0.008299867,0.16704625,7.162944579,2.488137596,0.151998656,2.803016083,0.053438563,9.669707913,19.33941583,0.001228292,13.75705801,1.496212413,0.78488827,0.002794528,0.367684768,1.112194574,5.493046241,0.033634611,2.392088911,19.33941583,0.537966119,9.888844322,0.040931138,19.33941583,0.092676643,0.07729992,0.00463978,23.58493441,0.302798968,0.164849783,1.336745531,0.047932737,11.36659492,2.377786633,0.001389277,8.193202818,9.609830229,0.354580493,0.01889631,0.009383435,0.162087842,0.034081218,0.002237761,0.005972887,1.254296541,0.009513858,0.794260766,1.911792092,0.021491492,0.236200628,0.125713009,1.112194574,0.009222691,22.29513421,17301.0201,1.001363195,0.806978566,0.004699413,0.31686889,0.163405029,10.8061359,0.511567272,1.112194574,0.175395832,0.718345154,2.210218951,41298.10744,19.33941583,25.08620953,0.018655013,10.80414292,0.243311849,0.10877519,0.039313346,1.289294388,22.29513421,22.29513421,116.0364954,7.114219697,22.29513421,5.535270509,22.29513421,22.29513421,13.08273865,1.242786728
2022-09-14,19.37194837,19.35540721,22.40100917,0.243912536,13.08070931,14.72764677,13.78510575,20.15363995,4.279322611,0.135552013,2.782391602,11.64978157,0.529151152,0.047767651,5.274866812,2.468154334,0.970670412,1.109277411,0.339360362,1.811953457,0.001299956,3.741735776,5.165852898,1.062056171,0.160905245,0.013919512,1.0,0.013273905,1.91965884,62.74522379,0.323195657,2.602766318,0.082415229,5.656488406,4.103490838,5.321963838,32994.61618,50.32338529,0.004412065,0.021054242,0.623201197,0.135580025,0.789716643,0.000820223,1.798002615,27.3229173,51.52113928,0.029507128,0.053031108,0.524456522,0.045227687,6.005754469,0.005075827,3.928800182,0.204188843,5.024995202,6.857125806,0.029507128,8.643866401,2.43e-05,2.426427541,7.687422369,0.001777345,9.896262565,0.137507019,0.000459725,0.356455007,0.13893818,0.029910361,380.2904699,0.007711646,0.128627604,3.851718088,1.912242585,0.429199262,0.044924556,0.474971238,0.219624829,0.01285038,0.162198312,2.855521216,0.008313228,0.165315936,7.175009283,2.486561624,0.15237391,2.807100291,0.053528456,9.685974184,19.37194837,0.00120906,13.78510575,1.489671266,0.771260669,0.002788524,0.360191673,1.109277411,5.501815734,0.033662388,2.396266344,19.37194837,0.529066597,9.896262565,0.040918495,19.37194837,0.09278463,0.077425384,0.004503546,23.62455301,0.303314502,0.164977378,1.339344624,0.047883777,11.39558996,2.384632676,0.001393338,8.153281618,9.665024383,0.355197752,0.018924137,0.009210362,0.162376233,0.034138967,0.002199081,0.005983158,1.261202512,0.009526175,0.790036105,1.912018712,0.021525276,0.237023409,0.125938625,1.109277411,0.009229382,22.40100917,17321.20193,1.001349557,0.807460689,0.004630202,0.314064451,0.163461597,10.8230214,0.503015777,1.109277411,0.175527407,0.714506541,2.213936956,41339.0104,19.37194837,25.13727958,0.018362162,10.82231752,0.243912536,0.108964208,0.039342837,1.291463225,22.40100917,22.40100917,116.2316907,7.034100169,22.40100917,5.54331409,22.40100917,22.40100917,13.08070931,1.243441146
2022-09-15,19.4249571,19.40648164,22.2941674,0.243370709,13.03335813,14.71509722,13.78442,20.22169496,4.290009913,0.135334064,2.777056345,11.61093581,0.525753087,0.047501018,5.289300775,2.474889883,0.96801045,1.10630113,0.338853534,1.811112998,0.001300595,3.710322976,5.179988559,1.063225908,0.161344372,0.013881973,1.0,0.013318265,1.912229736,62.86001248,0.325174842,2.609711722,0.082025186,5.65243376,4.104915043,5.336526675,32343.40151,50.45319439,0.004407025,0.021028271,0.621673945,0.135659042,0.792448957,0.00082234,1.800045241,27.39768279,51.66211994,0.029584991,0.053510611,0.525842907,0.045321027,6.016041619,0.005100203,3.941693867,0.186143304,5.001207079,6.888991341,0.029584991,8.656307182,2.42e-05,2.422309476,7.708258136,0.001771795,9.922376503,0.138311423,0.000461634,0.363087302,0.140299807,0.030404411,373.0871014,0.00773128,0.127644915,3.916759611,1.928145657,0.431866188,0.045451547,0.476944515,0.220182063,0.012885544,0.162626316,2.860323982,0.008339548,0.166271288,7.194420853,2.490758912,0.152035426,2.811664229,0.05367493,9.712478548,19.4249571,0.001229124,13.78442,1.491251012,0.788140288,0.002794434,0.369931269,1.10630113,5.516774313,0.033728871,2.402805711,19.4249571,0.540377075,9.922376503,0.040808657,19.4249571,0.092950948,0.077639996,0.00456552,23.68894039,0.304144698,0.165363698,1.464111251,0.048019929,11.42684867,2.389024644,0.001396322,8.16835772,9.666297159,0.356266017,0.01881557,0.009499397,0.163543,0.03420065,0.002227777,0.005993801,1.259007967,0.00955342,0.788290363,1.919318867,0.021583884,0.239678492,0.126277541,1.10630113,0.00924545,22.2941674,17656.75115,1.002752231,0.808845889,0.004714033,0.315531237,0.16197111,10.85290461,0.504405792,1.10630113,0.175990583,0.710973208,2.219995097,41414.09761,19.4249571,25.15839381,0.018719103,10.85193134,0.243370709,0.109261835,0.039446654,1.29499714,22.2941674,22.2941674,116.549743,7.055168885,22.2941674,5.559954614,22.2941674,22.2941674,13.03335813,1.23763123
2022-09-16,19.42803383,19.44342503,22.17112287,0.243845912,13.00667422,14.63478232,13.80497499,20.13321127,4.284387268,0.135826384,2.781630315,11.60250213,0.52633833,0.048099419,5.290138552,2.47500447,0.969533916,1.099054458,0.338699074,1.802817385,0.001296067,3.674190592,5.180809022,1.062514388,0.161245789,0.014023166,1.0,0.013313544,1.900439462,62.85975359,0.320578104,2.614746506,0.081357397,5.65526685,4.118430227,5.337371932,32514.86696,50.45989786,0.004386078,0.021039823,0.620649198,0.135392579,0.79244159,0.000821262,1.804080261,27.40202233,51.67030274,0.02964131,0.053175356,0.526845489,0.045300079,6.059065745,0.005094285,3.949553842,0.185760485,5.013423367,6.890018641,0.02964131,8.618172294,2.42e-05,2.423316186,7.70844838,0.001770311,9.94126536,0.138320431,0.000459623,0.363353804,0.13939447,0.030788422,376.0785246,0.007734417,0.127683739,3.917826788,1.922706908,0.42636661,0.044776623,0.476254004,0.219975582,0.012887585,0.162935902,2.863599477,0.008329152,0.166091341,7.195577335,2.492733655,0.152332289,2.812781744,0.053683431,9.714016916,19.42803383,0.001225599,13.80497499,1.492124724,0.788288395,0.002787486,0.370061875,1.099054458,5.517794164,0.03373741,2.402916961,19.42803383,0.54001309,9.94126536,0.040847347,19.42803383,0.092995499,0.077642101,0.004611445,23.69272142,0.304245828,0.165765667,1.369960759,0.04740738,11.42865791,2.398875035,0.001388496,8.159273272,9.660816598,0.356525277,0.019015421,0.009487201,0.163769148,0.034238032,0.002225817,0.005985463,1.257857145,0.009565193,0.791293018,1.915346387,0.021587371,0.239701401,0.126146061,1.099054458,0.009255372,22.17112287,17627.03777,1.003453333,0.80975739,0.004714774,0.315692607,0.161487159,10.85592113,0.513070341,1.099054458,0.17632561,0.703642078,2.220346724,41318.51983,19.42803383,25.18700692,0.018709357,10.85365019,0.243845912,0.109268725,0.039521747,1.295202255,22.17112287,22.17112287,116.5682035,7.05901669,22.17112287,5.56079393,22.17112287,22.17112287,13.00667422,1.240649247
2022-09-17,19.42857954,19.45918331,22.18962658,0.243815,13.05480482,14.64610599,13.81925573,20.13681865,4.283823161,0.135903132,2.783714928,11.64095302,0.527059776,0.048068798,5.290287145,2.475178365,0.969323983,1.103394322,0.338803806,1.815885908,0.001299062,3.690361272,5.180954544,1.063778442,0.161307344,0.014022088,1.0,0.013310286,1.90608006,62.656138,0.321134255,2.617017946,0.082010587,5.675028307,4.126007402,5.337521852,32507.37334,50.45788817,0.00438075,0.021062756,0.620821816,0.135371911,0.793361062,0.000821501,1.804740598,27.40279202,51.6717541,0.029665334,0.053663951,0.524540714,0.045303681,6.053626925,0.005097995,3.953626145,0.182215241,5.011804942,6.866365968,0.029665334,8.581920113,2.42e-05,2.417296817,7.695275032,0.001772276,9.949322442,0.13770187,0.000462228,0.36343703,0.139076664,0.03063003,380.6837096,0.007734218,0.129180548,3.913459384,1.951534322,0.426539443,0.045178116,0.475916652,0.21988919,0.012887947,0.163067956,2.867440878,0.008336691,0.166660452,7.195510776,2.491679506,0.152312978,2.801960946,0.053684939,9.71428977,19.42857954,0.001222127,13.81925573,1.484270353,0.789167914,0.002776229,0.370128784,1.103394322,5.520295357,0.034318153,2.403085792,19.42857954,0.540134076,9.949322442,0.040863204,19.42857954,0.092534682,0.077639442,0.004716165,23.69331743,0.304908463,0.165830665,1.370358063,0.04803368,11.42858724,2.377082797,0.001325257,8.204662594,9.640583133,0.356494705,0.019043508,0.009500144,0.165304459,0.034175245,0.002248556,0.005969515,1.255958549,0.009713566,0.789860112,1.915852275,0.021587311,0.23970719,0.126163952,1.103394322,0.009270099,22.18962658,17644.52468,1.004806128,0.809620247,0.004724288,0.316178088,0.162580308,10.87034066,0.512236919,1.103394322,0.176468516,0.706035009,2.22040909,41493.72035,19.42857954,25.14392004,0.018743636,10.85395505,0.243815,0.109149466,0.039553778,1.295238636,22.18962658,22.18962658,116.5714777,7.153623197,22.18962658,5.537154697,22.18962658,22.18962658,13.05480482,1.233583726
2022-09-18,19.43249321,19.46538314,22.19299102,0.243804918,13.0467036,14.65035113,13.81824786,20.14356606,4.284698568,0.135934551,2.789840812,11.63999834,0.527165307,0.04807884,5.291352813,2.475738962,0.969324785,1.103718927,0.338888044,1.808945138,0.001299415,3.693062479,5.181998188,1.064198753,0.161330546,0.01402916,1.0,0.013312776,1.906425157,62.66556277,0.321429448,2.617650784,0.0820262,5.678131609,4.123849408,5.338597035,32533.36927,50.46783174,0.004381425,0.020998417,0.620946028,0.135401337,0.793453033,0.000821666,1.805119772,27.408312,51.68216278,0.029674785,0.053674761,0.524637475,0.045313227,6.054745572,0.005099076,3.950968645,0.182085143,5.012846358,6.867749119,0.029674785,8.580168899,2.42e-05,2.41758391,7.696079969,0.001772633,9.952492366,0.137711944,0.000462399,0.363498771,0.139099834,0.030631395,380.912,0.007735179,0.129246747,3.913908173,1.952576685,0.426619949,0.045187217,0.476001405,0.220043631,0.012890543,0.163119911,2.868052182,0.008338436,0.166757104,7.197219579,2.492180854,0.15230668,2.802110035,0.053695754,9.716246603,19.43249321,0.001222539,13.81824786,1.484640417,0.789349567,0.002776995,0.370210637,1.103718927,5.520731017,0.034377789,2.40363006,19.43249321,0.540242217,9.952492366,0.040870656,19.43249321,0.092541061,0.077658339,0.004719295,23.69806305,0.304970247,0.165875689,1.369449419,0.048043356,11.4308894,2.377561702,0.001324684,8.206305978,9.642474318,0.356564591,0.019047176,0.009500627,0.165386211,0.034181872,0.002250091,0.005970216,1.256143033,0.009715564,0.789992358,1.916238201,0.021591659,0.239755476,0.126189248,1.103718927,0.009272024,22.19299102,17666.42113,1.005236926,0.809882001,0.004725087,0.316281732,0.162612357,10.87253931,0.512321765,1.103718927,0.176524741,0.700830992,2.220856366,41522.35925,19.43249321,25.148985,0.018748536,10.85614146,0.243804918,0.109171454,0.03956638,1.295499547,22.19299102,22.19299102,116.5949597,7.155071468,22.19299102,5.536649461,22.19299102,22.19299102,13.0467036,1.233781953
